OBJECTID *,ID_EXPLORACION,ID_ESTUDIO,ID_FUENTE,NO_ESTUDIO,NO_EXPLORACION,CLASE_EXPLORACION,TIPO_EXPLORACION,PROF_EXPLORACION__m_,NIVEL_FREATICO__m_,EQUIPO_UTILIZADO,FECHA,NO_REFERENCIA,REF_SECTOR,REF_UBICACION,ESTE,NORTE,COD,Shape *,X_wgs_1,Y_wgs_1,X_wgs,Y_wgs,,
106,DEI28P5,DEI28,DEI,28,5,P,PERFORACION,25,<Null>,<Null>,<Null>,PERFORACION5,SANTA ANA,<Null>,4962229.011,2172913.126,106,Point,-73.341169,5.564817,-73.341169,5.564817,,
107,LHL29P1,LHL29,LHL,29,1,P,PERFORACION,15,<Null>,<Null>,<Null>,PERFORACION1,JORGE ELIECER GAITAN ,<Null>,4959581.73,2170742.475,107,Point,-73.365069,5.545158,-73.365069,5.545158,,
108,LHL29P3,LHL29,LHL,29,3,P,PERFORACION,15,<Null>,<Null>,<Null>,PERFORACION3,JORGE ELIECER GAITAN ,<Null>,4959581.73,2170742.475,108,Point,-73.365069,5.545158,-73.36494231,5.545260203,,
109,LHL29P4,LHL29,LHL,29,4,P,PERFORACION,15,<Null>,<Null>,<Null>,PERFORACION4,JORGE ELIECER GAITAN ,<Null>,4959581.73,2170742.475,109,Point,-73.365069,5.545158,-73.36487612,5.545332804,,
110,PYA30P1,PYA30,PYA,30,1,P,PERFORACION,10,<Null>,<Null>,<Null>,PERFORACION1,CAPITOLIO ,<Null>,4962632.687,2173789.514,110,Point,-73.337528,5.57275,-73.337528,5.57275,,
111,PYA30P2,PYA30,PYA,30,2,P,PERFORACION,10,<Null>,<Null>,<Null>,PERFORACION2,CAPITOLIO ,<Null>,4962632.687,2173789.514,111,Point,-73.337528,5.57275,-73.33747485,5.572841739,,
112,PYA30P3,PYA30,PYA,30,3,P,PERFORACION,10,<Null>,<Null>,<Null>,PERFORACION3,CAPITOLIO ,<Null>,4962632.687,2173789.514,112,Point,-73.337528,5.57275,-73.33742117,5.572832982,,
113,PYA31P1,PYA31,PYA,31,1,P,PERFORACION,15,<Null>,<Null>,<Null>,PERFORACION1,LIBERTADOR,<Null>,4958987.961,2168051.917,113,Point,-73.370417,5.520806,-73.370417,5.520806,,
114,PYA31P2,PYA31,PYA,31,2,P,PERFORACION,15,<Null>,<Null>,<Null>,PERFORACION2,LIBERTADOR,<Null>,4958987.961,2168051.917,114,Point,-73.370417,5.520806,-73.37038511,5.520931943,,
115,PYA31P3,PYA31,PYA,31,3,P,PERFORACION,15,<Null>,<Null>,<Null>,PERFORACION3,LIBERTADOR,<Null>,4958987.961,2168051.917,115,Point,-73.370417,5.520806,-73.37041372,5.520903932,,
116,PYA31P4,PYA31,PYA,31,4,P,PERFORACION,15,<Null>,<Null>,<Null>,PERFORACION4,LIBERTADOR,<Null>,4958987.961,2168051.917,116,Point,-73.370417,5.520806,-73.3702185,5.520870393,,
117,DEI32P1,DEI32,DEI,32,1,P,PERFORACION,15,"0,75",<Null>,<Null>,PERFORACION1,MANOLETE,<Null>,4961642.924,2171458.267,117,Point,-73.346456,5.551647,-73.346456,5.551647,,
118,DEI32P2,DEI32,DEI,32,2,P,PERFORACION,15,"0,75",<Null>,<Null>,PERFORACION2,MANOLETE,<Null>,4961650.918,2171454.579,118,Point,-73.346383,5.551614,-73.346383,5.551614,,
119,DEI32P3,DEI32,DEI,32,3,P,PERFORACION,15,"0,75",<Null>,<Null>,PERFORACION3,MANOLETE,<Null>,4961652.463,2171466.242,119,Point,-73.346369,5.551719,-73.346369,5.551719,,
120,DEI32P4,DEI32,DEI,32,4,P,PERFORACION,15,"0,75",<Null>,<Null>,PERFORACION4,MANOLETE,<Null>,4959060.96,2166738.168,120,Point,-73.36975,5.508917,-73.36975,5.508917,,
121,PYA33P1,PYA33,PYA,33,1,P,PERFORACION,10,<Null>,<Null>,<Null>,PERFORACION1,MERCADO MAYOR DE TUNJA,<Null>,4961650.918,2171454.579,121,Point,-73.346383,5.551614,-73.346383,5.551614,,
122,PYA33P2,PYA33,PYA,33,2,P,PERFORACION,10,<Null>,<Null>,<Null>,PERFORACION2,MERCADO MAYOR DE TUNJA,<Null>,4961650.918,2171454.579,122,Point,-73.346383,5.551614,-73.34634384,5.551802595,,
123,PYA33P3,PYA33,PYA,33,3,P,PERFORACION,10,<Null>,<Null>,<Null>,PERFORACION3,MERCADO MAYOR DE TUNJA,<Null>,4961650.918,2171454.579,123,Point,-73.346383,5.551614,-73.34631741,5.551648158,,
124,PYA34P1,PYA34,PYA,34,1,P,PERFORACION,10,<Null>,<Null>,<Null>,PERFORACION1,BARRIO JORDAN ,<Null>,4959906.522,2168412.881,124,Point,-73.362122,5.524077,-73.362122,5.524077,,
125,PYA34P2,PYA34,PYA,34,2,P,PERFORACION,10,<Null>,<Null>,<Null>,PERFORACION2,BARRIO JORDAN ,<Null>,4959906.504,2168402.889,125,Point,-73.362123,5.523987,-73.362123,5.523987,,
126,PYA34P3,PYA34,PYA,34,3,P,PERFORACION,10,<Null>,<Null>,<Null>,PERFORACION3,BARRIO JORDAN ,<Null>,4959916.488,2168398.875,126,Point,-73.362032,5.523951,-73.362032,5.523951,,
127,LHL35P1,LHL35,LHL,35,1,P,PERFORACION,15,<Null>,<Null>,<Null>,PERFORACION1,ALTOS DE ARBOLEDA,<Null>,4962941.787,2173677.023,127,Point,-73.334735,5.571734,-73.334735,5.571734,,
128,LHL35P2,LHL35,LHL,35,2,P,PERFORACION,15,<Null>,<Null>,<Null>,PERFORACION2,ALTOS DE ARBOLEDA,<Null>,4962941.787,2173677.023,128,Point,-73.334735,5.571734,-73.33460589,5.57174513,,
129,PYA36P1,PYA36,PYA,36,1,P,PERFORACION,12,<Null>,<Null>,<Null>,PERFORACION1, VILLAS DEL NORTE,<Null>,4962974.198,2173533.888,129,Point,-73.334442,5.570438,-73.334442,5.570438,,
130,PYA36P2,PYA36,PYA,36,2,P,PERFORACION,12,<Null>,<Null>,<Null>,PERFORACION2, VILLAS DEL NORTE,<Null>,4962974.198,2173533.888,130,Point,-73.334442,5.570438,-73.33427938,5.570622767,,
131,LHL37P3,LHL37,LHL,37,3,P,PERFORACION,15,"2,7",<Null>,<Null>,PERFORACION3,LA MARIA ,<Null>,4961392.669,2172495.871,131,Point,-73.348721,5.561036,-73.348721,5.561036,,
132,LHL37P4,LHL37,LHL,37,4,P,PERFORACION,15,"2,7",<Null>,<Null>,PERFORACION4,LA MARIA ,<Null>,4961392.669,2172495.871,132,Point,-73.348721,5.561036,-73.34869255,5.561092949,,
133,PYA38P1,PYA38,PYA,38,1,P,PERFORACION,10,<Null>,<Null>,<Null>,PERFORACION1,<Null>,<Null>,4962941.787,2173677.023,133,Point,-73.334735,5.571734,-73.334735,5.571734,,
134,PYA38P2,PYA38,PYA,38,2,P,PERFORACION,10,<Null>,<Null>,<Null>,PERFORACION2,<Null>,<Null>,4962941.787,2173677.023,134,Point,-73.334735,5.571734,-73.33459606,5.571797983,,
135,LHL39P1,LHL39,LHL,39,1,P,PERFORACION,15,4,<Null>,<Null>,PERFORACION1,SIBERIA,<Null>,4962974.198,2173533.888,135,Point,-73.334442,5.570438,-73.334442,5.570438,,
136,LHL39P2,LHL39,LHL,39,2,P,PERFORACION,15,4,<Null>,<Null>,PERFORACION2,SIBERIA,<Null>,4962974.198,2173533.888,136,Point,-73.334442,5.570438,-73.33427011,5.570457547,,
137,JIS40P1,JIS40,JIS,40,1,P,PERFORACION,15,<Null>,<Null>,<Null>,PERFORACION1,JORDAN,<Null>,4961896.313,2171417.296,137,Point,-73.344167,5.551278,-73.344167,5.551278,,
138,JIS40P2,JIS40,JIS,40,2,P,PERFORACION,15,<Null>,<Null>,<Null>,PERFORACION2,JORDAN,<Null>,4961896.313,2171417.296,138,Point,-73.344167,5.551278,-73.34402717,5.551318315,,
139,JIS40P3,JIS40,JIS,40,3,P,PERFORACION,15,<Null>,<Null>,<Null>,PERFORACION3,JORDAN,<Null>,4961896.313,2171417.296,139,Point,-73.344167,5.551278,-73.34414626,5.551325911,,
140,JIS40P4,JIS40,JIS,40,4,P,PERFORACION,15,<Null>,<Null>,<Null>,PERFORACION4,JORDAN,<Null>,4961896.313,2171417.296,140,Point,-73.344167,5.551278,-73.34406156,5.551308272,,
141,PYA41P1,PYA41,PYA,41,1,P,PERFORACION,10,<Null>,<Null>,<Null>,PERFORACION1,ALTOS DE ALEJANDRIA,<Null>,4960121.009,2170101.579,141,Point,-73.360194,5.539361,-73.360194,5.539361,,
142,PYA41P2,PYA41,PYA,41,2,P,PERFORACION,10,<Null>,<Null>,<Null>,PERFORACION2,ALTOS DE ALEJANDRIA,<Null>,4960121.009,2170101.579,142,Point,-73.360194,5.539361,-73.36018183,5.539506569,,
143,PYA41P3,PYA41,PYA,41,3,P,PERFORACION,10,<Null>,<Null>,<Null>,PERFORACION3,ALTOS DE ALEJANDRIA,<Null>,4960121.009,2170101.579,143,Point,-73.360194,5.539361,-73.36008407,5.53954595,,
144,LHL42P1,LHL42,LHL,42,1,P,PERFORACION,15,4,<Null>,<Null>,PERFORACION1,<Null>,<Null>,4958965.552,2167456.19,144,Point,-73.370616,5.515414,-73.370616,5.515414,,
145,LHL42P3,LHL42,LHL,42,3,P,PERFORACION,15,4,<Null>,<Null>,PERFORACION3,<Null>,<Null>,4958965.552,2167456.19,145,Point,-73.370616,5.515414,-73.37053764,5.515520057,,
146,PYA43P1,PYA43,PYA,43,1,P,PERFORACION,12,<Null>,<Null>,<Null>,PERFORACION1,MALDONADO,<Null>,4962069.784,2173571.911,146,Point,-73.342611,5.570778,-73.342611,5.570778,,
147,PYA43P2,PYA43,PYA,43,2,P,PERFORACION,12,<Null>,<Null>,<Null>,PERFORACION2,MALDONADO ,<Null>,4962069.784,2173571.911,147,Point,-73.342611,5.570778,-73.34242454,5.57091551,,
148,PYA43P3,PYA43,PYA,43,3,P,PERFORACION,12,<Null>,<Null>,<Null>,PERFORACION3,MALDONADO ,<Null>,4962069.784,2173571.911,148,Point,-73.342611,5.570778,-73.34254216,5.57091002,,
149,PYA44P1,PYA44,PYA,44,1,P,PERFORACION,10,<Null>,<Null>,<Null>,PERFORACION1,MUISCAS,<Null>,4959890.797,2170835.306,149,Point,-73.362278,5.546,-73.362278,5.546,,
150,PYA44P2,PYA44,PYA,44,2,P,PERFORACION,10,<Null>,<Null>,<Null>,PERFORACION2,MUISCAS,<Null>,4959890.797,2170835.306,150,Point,-73.362278,5.546,-73.36208779,5.546168738,,
151,PYA44P3,PYA44,PYA,44,3,P,PERFORACION,10,<Null>,<Null>,<Null>,PERFORACION3,MUISCAS,<Null>,4959890.797,2170835.306,151,Point,-73.362278,5.546,-73.36214894,5.546190044,,
152,PYA44P4,PYA44,PYA,44,4,P,PERFORACION,10,<Null>,<Null>,<Null>,PERFORACION4,MUISCAS,<Null>,4959890.797,2170835.306,152,Point,-73.362278,5.546,-73.36226486,5.546157469,,
153,LHL45P2,LHL45,LHL,45,2,P,PERFORACION,15,<Null>,<Null>,<Null>,PERFORACION2,VILLA TOLOSA,<Null>,4960808.488,2172863.624,153,Point,-73.354,5.564361,-73.354,5.564361,,
154,LHL45P3,LHL45,LHL,45,3,P,PERFORACION,15,<Null>,<Null>,<Null>,PERFORACION3,VILLA TOLOSA,<Null>,4960808.488,2172863.624,154,Point,-73.354,5.564361,-73.35395883,5.564432783,,
155,LHL45P4,LHL45,LHL,45,4,P,PERFORACION,15,<Null>,<Null>,<Null>,PERFORACION4,VILLA TOLOSA,<Null>,4960808.488,2172863.624,155,Point,-73.354,5.564361,-73.3539167,5.564410579,,
156,LHL45P5,LHL45,LHL,45,5,P,PERFORACION,15,<Null>,<Null>,<Null>,PERFORACION5,VILLA TOLOSA,<Null>,4960808.488,2172863.624,156,Point,-73.354,5.564361,-73.35391462,5.564394346,,
157,JPI46P1,JPI46,JPI,46,1,P,PERFORACION,10.3,<Null>,<Null>,<Null>,PERFORACION1,GAITAN ,<Null>,4959619.026,2168990.763,157,Point,-73.364722,5.529306,-73.364722,5.529306,,
158,JPI46P2,JPI46,JPI,46,2,P,PERFORACION,10.3,<Null>,<Null>,<Null>,PERFORACION2,GAITAN ,<Null>,4959619.026,2168990.763,158,Point,-73.364722,5.529306,-73.36455966,5.529313824,,
159,LHL47P1,LHL47,LHL,47,1,P,PERFORACION,25,"3,7",<Null>,<Null>,PERFORACION1,AV UNIVERSITARIA,<Null>,4961649.792,2171404.938,159,Point,-73.346393,5.551165,-73.346393,5.551165,,
160,LHL47P2,LHL47,LHL,47,2,P,PERFORACION,15,"3,7",<Null>,<Null>,PERFORACION2,AV UNIVERSITARIA,<Null>,4961649.792,2171404.938,160,Point,-73.346393,5.551165,-73.3463486,5.551215901,,
161,LHL47P3,LHL47,LHL,47,3,P,PERFORACION,25,"3,7",<Null>,<Null>,PERFORACION3,AV UNIVERSITARIA,<Null>,4961649.792,2171404.938,161,Point,-73.346393,5.551165,-73.34630781,5.551171286,,
162,LHL47P4,LHL47,LHL,47,4,P,PERFORACION,15,"3,7",<Null>,<Null>,PERFORACION4,AV UNIVERSITARIA,<Null>,4961649.792,2171404.938,162,Point,-73.346393,5.551165,-73.34635328,5.551193575,,
163,PYA48P1,PYA48,PYA,48,1,P,PERFORACION,10,<Null>,<Null>,<Null>,PERFORACION1,SANTA BARBARA,<Null>,4960545.784,2170702.925,163,Point,-73.356361,5.544806,-73.356361,5.544806,,
164,PYA48P2,PYA48,PYA,48,2,P,PERFORACION,10,<Null>,<Null>,<Null>,PERFORACION2,SANTA BARBARA,<Null>,4960545.784,2170702.925,164,Point,-73.356361,5.544806,-73.35623895,5.54496952,,
165,PYA48P3,PYA48,PYA,48,3,P,PERFORACION,10,<Null>,<Null>,<Null>,PERFORACION3,SANTA BARBARA,<Null>,4960545.784,2170702.925,165,Point,-73.356361,5.544806,-73.35624305,5.544875367,,
166,DEI49P1,DEI49,DEI,49,1,P,PERFORACION,15,<Null>,<Null>,<Null>,PERFORACION1,AV OLIMPICA,<Null>,4960548.861,2170705.992,166,Point,-73.356333,5.544833,-73.356333,5.544833,,
167,DEI49P2,DEI49,DEI,49,2,P,PERFORACION,15,<Null>,<Null>,<Null>,PERFORACION2,AV OLIMPICA,<Null>,4960551.933,2170699.852,167,Point,-73.356306,5.544778,-73.356306,5.544778,,
168,DEI49P3,DEI49,DEI,49,3,P,PERFORACION,15,<Null>,<Null>,<Null>,PERFORACION3,AV OLIMPICA,<Null>,4960553.473,2170704.455,168,Point,-73.356292,5.544819,-73.356292,5.544819,,
169,DEI49P4,DEI49,DEI,49,4,P,PERFORACION,15,<Null>,<Null>,<Null>,PERFORACION4,AV OLIMPICA,<Null>,4961826.783,2173483.04,169,Point,-73.344806,5.569972,-73.344806,5.569972,,
170,PYA50P1,PYA50,PYA,50,1,P,PERFORACION,10,<Null>,<Null>,<Null>,PERFORACION1,BARRIO ASIS,<Null>,4961826.783,2173483.04,170,Point,-73.344806,5.569972,-73.34463865,5.570041561,,
171,PYA50P2,PYA50,PYA,50,2,P,PERFORACION,10,<Null>,<Null>,<Null>,PERFORACION2,BARRIO ASIS,<Null>,4961826.783,2173483.04,171,Point,-73.344806,5.569972,-73.34479255,5.570042724,,
172,PYA50P3,PYA50,PYA,50,3,P,PERFORACION,10,<Null>,<Null>,<Null>,PERFORACION3,BARRIO ASIS,<Null>,4961826.783,2173483.04,172,Point,-73.344806,5.569972,-73.34479414,5.570061153,,
