OBJECTID *,ID_EXPLORACION,ID_ESTUDIO,ID_FUENTE,NO_ESTUDIO,NO_EXPLORACION,CLASE_EXPLORACION,TIPO_EXPLORACION,PROF_EXPLORACION__m_,NIVEL_FREATICO__m_,EQUIPO_UTILIZADO,FECHA,NO_REFERENCIA,REF_SECTOR,REF_UBICACION,ESTE,NORTE,COD,Shape *,X_wgs_1,Y_wgs_1,X_wgs,Y_wgs,,
26,DEI5P2,DEI5,DEI,5,2,P,PERFORACION,15.5,7,<Null>,<Null>,PERFORACION 2,URBANIZACION CARMELO ,URBANIZACION CARMELO ,4961547.278,2171455.867,26,Point,-73.347319,5.551625,-73.347319,5.551625,,
27,DEI5P1,DEI5,DEI,5,1,P,PERFORACION,15,7,<Null>,<Null>,PERFORACION 1,URBANIZACION CARMELO ,URBANIZACION CARMELO ,4961541.427,2171442.365,27,Point,-73.347372,5.551503,-73.347372,5.551503,,
28,DEI5P3,DEI5,DEI,5,3,P,PERFORACION,15,7,<Null>,<Null>,PERFORACION 3,URBANIZACION CARMELO ,URBANIZACION CARMELO ,4961550.655,2171445.122,28,Point,-73.347289,5.551528,-73.347289,5.551528,,
29,DEI5P4,DEI5,DEI,5,4,P,PERFORACION,15,7,<Null>,<Null>,PERFORACION 4,URBANIZACION CARMELO ,URBANIZACION CARMELO ,4961559.273,2171457.395,29,Point,-73.347211,5.551639,-73.347211,5.551639,,
30,APP6P1,APP6,APP,6,1,P,PERFORACION,15,<Null>,<Null>,<Null>,PERFORACION 1,VILLA OLIMPICA,VILLA OLIMPICA,4960902.796,2170626.283,30,Point,-73.353136,5.544114,-73.353136,5.544114,,
31,APP6P2,APP6,APP,6,2,P,PERFORACION,15,<Null>,<Null>,<Null>,PERFORACION 2,VILLA OLIMPICA,VILLA OLIMPICA,4960888.944,2170605.42,31,Point,-73.353261,5.543925,-73.353261,5.543925,,
32,APP6P3,APP6,APP,6,3,P,PERFORACION,15,<Null>,<Null>,<Null>,PERFORACION 3,VILLA OLIMPICA,VILLA OLIMPICA,4960874.473,2170578.418,32,Point,-73.353392,5.543681,-73.353392,5.543681,,
33,CTE7P1,CTE7,CTE,7,1,P,PERFORACION,12,<Null>,<Null>,<Null>,PERFORACION 1,SANTA ANA,SANTA ANA,4960860.415,2170555.508,33,Point,-73.353519,5.543473,-73.353519,5.543473,,
34,CTE7P3,CTE7,CTE,7,3,P,PERFORACION,12,<Null>,<Null>,<Null>,PERFORACION 3,SANTA ANA,SANTA ANA,4960846.254,2170531.575,34,Point,-73.353646,5.543256,-73.353646,5.543256,,
35,LHL8P3,LHL8,LHL,8,3,P,PERFORACION,15,<Null>,<Null>,<Null>,BARRENO 3,LAS NIEVES ,LAS NIEVES,4959903.248,2169913.601,35,Point,-73.36216,5.537659,-73.36216,5.537659,,
36,LHL8P4,LHL8,LHL,8,4,P,PERFORACION,15,<Null>,<Null>,<Null>,BARRENO  4,LAS NIEVES ,LAS NIEVES,4959903.248,2169913.601,36,Point,-73.36216,5.537659,-73.3620864,5.537710545,,
37,LHL9P1,LHL9,LHL,9,1,P,PERFORACION,12,<Null>,<Null>,<Null>,BARRENO 1,CENTRO,CENTRO,4959994.417,2168948.263,37,Point,-73.361331,5.528923,-73.361331,5.528923,,
38,LHL9P3,LHL9,LHL,9,3,P,PERFORACION,10.5,<Null>,<Null>,<Null>,BARRENO 3,CENTRO,CENTRO,4959994.417,2168948.263,38,Point,-73.361331,5.528923,-73.36114494,5.529112932,,
39,LHL9P4,LHL9,LHL,9,4,P,PERFORACION,15,<Null>,<Null>,<Null>,BARRENO  4,CENTRO,CENTRO,4959994.417,2168948.263,39,Point,-73.361331,5.528923,-73.36127452,5.529021018,,
40,APP10P4,APP10,APP,10,4,P,PERFORACION,15,<Null>,<Null>,<Null>,BARRENO  4,<Null>,<Null>,4961111.119,2172061.859,40,Point,-73.351262,5.557107,-73.351262,5.557107,,
41,APP10P5,APP10,APP,10,5,P,PERFORACION,15,<Null>,<Null>,<Null>,BARRENO  5,<Null>,<Null>,4961111.119,2172061.859,41,Point,-73.351262,5.557107,-73.351214,5.557147932,,
42,LHL11P1,LHL11,LHL,11,1,P,PERFORACION,20.3,<Null>,<Null>,<Null>,BARRENO 1,<Null>,<Null>,4959980.983,2170410.134,42,Point,-73.361461,5.542153,-73.361461,5.542153,,
43,LHL11P4,LHL11,LHL,11,4,P,PERFORACION,21,<Null>,<Null>,<Null>,BARRENO 4,<Null>,<Null>,4959980.983,2170410.134,43,Point,-73.361461,5.542153,-73.36143439,5.54230863,,
44,LSP12P1,LSP12,LSP,12,1,P,PERFORACION,15,<Null>,<Null>,<Null>,SONDEO 1,B RODEO TUNJA,NORTE,4961068.332,2171939.58,44,Point,-73.351648,5.556,-73.351648,5.556,,
45,LSP12P2,LSP12,LSP,12,2,P,PERFORACION,15,<Null>,<Null>,<Null>,SONDEO 2,B RODEO TUNJA,NORTE,4961068.332,2171939.58,45,Point,-73.351648,5.556,-73.35149428,5.556034216,,
46,LSP12P3,LSP12,LSP,12,3,P,PERFORACION,15,<Null>,<Null>,<Null>,SONDEO 3,B RODEO TUNJA,NORTE,4961068.332,2171939.58,46,Point,-73.351648,5.556,-73.35153518,5.556135599,,
47,JIS13P1,JIS13,JIS,13,1,P,PERFORACION,14.4,"1,8",<Null>,<Null>,SONDEO 1,GLORIETA,GLORIETA,4960585.775,2170721.956,47,Point,-73.356,5.544978,-73.356,5.544978,,
